Step,Total_Wait,Ambulance_Wait,CO2,Queue
0,0.0,0.0,2.775,1
10,0.0,0.0,82.7074800758708,1
20,6.0,0.0,146.08201712415968,2
30,16.0,0.0,189.0549852173389,2
40,0.0,0.0,135.5631616875158,1
50,10.0,10.0,213.59597771867956,3
60,18.0,0.0,258.39661205237985,7
70,82.0,0.0,329.7613718842378,9
80,115.0,0.0,230.7107691885218,14
90,86.0,8.0,265.9448186744571,10
100,191.0,18.0,165.09738615156138,18
110,362.0,28.0,269.84375741648915,21
120,587.0,38.0,186.73618948279304,27
130,363.0,0.0,183.38849459755554,23
140,203.0,0.0,331.60053002153654,16
150,345.0,0.0,398.95889527109375,15
160,507.0,9.0,354.188405933911,18
170,691.0,19.0,375.8102303012782,22
180,693.0,29.0,409.59580921382104,23
190,256.0,39.0,291.0380722786054,18
200,153.0,0.0,215.74168417623903,16
210,364.0,9.0,306.33142965996467,29
220,289.0,19.0,323.9159440968275,24
230,413.0,29.0,382.4556884292925,21
240,627.0,39.0,349.45349187331857,24
250,887.0,49.0,366.3264518411843,29
260,1181.0,67.0,322.6346858294152,32
270,1039.0,89.0,314.98668500352915,27
280,1228.0,101.0,399.90728071479435,32
290,1128.0,42.0,411.5345873791711,35
300,802.0,62.0,338.3106153156799,35
310,151.0,7.0,522.7143879771558,19
320,300.0,17.0,396.95721655142967,25
330,510.0,27.0,341.3907684832799,30
340,834.0,37.0,384.6613786762335,40
350,661.0,0.0,494.16204969928043,34
360,602.0,7.0,410.36849557273564,33
370,545.0,0.0,352.78556297010715,32
380,127.0,0.0,372.5793154471676,20
390,244.0,0.0,290.5081165435658,23
400,181.0,0.0,322.45631023460805,22
410,258.0,0.0,327.1549003674362,30
420,175.0,0.0,377.3959886078211,21
430,185.0,0.0,370.61574012495413,18
440,237.0,0.0,359.47388945137726,21
450,257.0,9.0,304.8149296411674,30
460,229.0,0.0,401.89638647554676,28
470,327.0,0.0,307.70104259474306,27
480,388.0,5.0,304.5085940376991,29
490,740.0,15.0,323.0658465987678,41
500,597.0,0.0,338.0964800295508,35
510,499.0,0.0,424.35111265284866,30
520,494.0,0.0,330.76796203816883,29
530,424.0,0.0,214.4148350878653,31
540,488.0,10.0,308.0595093150412,34
550,355.0,0.0,303.4259843351889,24
560,242.0,0.0,251.6338526081023,21
570,280.0,0.0,351.56114569797995,26
580,339.0,0.0,374.1904195670374,26
590,583.0,0.0,290.17473435975023,35
600,474.0,0.0,286.6985903930822,30
610,349.0,0.0,286.2962867463976,21
620,263.0,0.0,326.8917800603887,20
630,250.0,0.0,393.9075852737191,26
640,404.0,0.0,297.9660067053524,33
650,463.0,0.0,336.7071917828314,31
660,526.0,0.0,302.5062562049504,31
670,128.0,0.0,340.71213295850816,19
680,260.0,0.0,254.32243067318268,22
690,540.0,0.0,273.19543903071497,34
700,831.0,0.0,233.05432707936737,40
710,501.0,6.0,304.9087441601945,38
720,562.0,16.0,378.03553504224976,39
730,612.0,26.0,354.8101762793917,32
740,673.0,0.0,253.87445938318524,26
750,224.0,9.0,237.3632866187474,19
760,224.0,0.0,290.54986252803303,22
770,439.0,3.0,286.0978300348024,28
780,615.0,25.0,275.8754901014097,41
790,1036.0,55.0,254.88907541331494,45
800,1147.0,33.0,253.28805379413916,33
810,1406.0,43.0,349.08386557006577,33
820,1734.0,53.0,391.099281693238,33
830,1833.0,63.0,279.07876689272035,33
840,1262.0,73.0,269.57189635902125,28
850,831.0,0.0,268.35915309632855,24
860,213.0,0.0,281.19220099630104,21
870,332.0,6.0,364.4012623783098,31
880,588.0,16.0,326.8138620567412,36
890,849.0,29.0,372.9346349291176,42
900,1095.0,39.0,299.1186194934171,35
910,1391.0,59.0,338.29870555156583,36
920,1761.0,79.0,358.58157191547144,38
930,2141.0,99.0,357.9032787113869,38
940,2541.0,119.0,448.6687998227665,45
950,2463.0,91.0,462.1301181003979,40
960,2093.0,110.0,454.8871078921016,43
970,1591.0,22.0,428.42877372069455,36
980,577.0,1.0,439.35030883965254,31
990,502.0,11.0,286.27140997019313,36
1000,936.0,21.0,395.519998084084,50
1010,709.0,31.0,459.04079162581456,38
1020,676.0,41.0,487.7917076386031,39
1030,644.0,1.0,421.9976761375281,36
1040,534.0,11.0,575.4256080722517,32
1050,762.0,0.0,498.1077991908511,40
1060,533.0,20.0,343.55930532092844,32
1070,444.0,50.0,333.47237634667994,33
1080,753.0,80.0,372.09882664180867,38
1090,1100.0,110.0,408.9188526111456,38
1100,1165.0,47.0,367.5555043698194,38
1110,886.0,56.0,349.5240487501177,31
1120,663.0,0.0,328.6684999457518,26
1130,495.0,0.0,322.48687856841195,25
1140,262.0,2.0,286.5289071637336,20
1150,202.0,12.0,318.41245833029876,20
1160,293.0,22.0,347.01449889177167,20
1170,540.0,32.0,370.1555596154576,27
1180,854.0,42.0,421.04249200314644,34
1190,1210.0,52.0,308.15153244268754,39
1200,937.0,0.0,398.0696809929952,34
1210,769.0,0.0,262.7895118313947,33
1220,441.0,23.0,287.15509147192597,28
1230,261.0,16.0,272.4769643770563,24
1240,528.0,26.0,232.6093599312574,32
1250,886.0,36.0,278.22542658390336,39
1260,979.0,0.0,199.24227255688967,34
1270,1271.0,1.0,267.5417950553733,37
1280,957.0,11.0,292.66335790658803,34
1290,692.0,0.0,315.4958551350265,29
1300,436.0,0.0,223.40556890717528,26
1310,609.0,0.0,398.55983112648573,35
1320,688.0,5.0,337.7634335404228,43
1330,1029.0,25.0,365.5844021091067,44
1340,727.0,3.0,368.4007038959296,34
1350,680.0,0.0,412.03344978040553,32
1360,591.0,0.0,316.6814051447314,34
1370,921.0,0.0,449.1097092141598,45
1380,902.0,0.0,481.88657507361756,43
1390,1093.0,0.0,429.382315555731,43
1400,1159.0,1.0,403.2936825785189,44
1410,1114.0,11.0,337.00840090943086,41
1420,684.0,21.0,369.4702446645993,37
1430,281.0,0.0,378.3431208465828,27
1440,534.0,0.0,346.9068499025105,29
1450,879.0,0.0,374.31040490170597,42
1460,1288.0,0.0,560.2610469956525,42
1470,1372.0,0.0,550.5399657000238,38
1480,1250.0,4.0,458.30268377740407,38
1490,984.0,19.0,324.30189173622756,30
1500,587.0,0.0,303.68426055470394,24
1510,293.0,1.0,377.62859047301157,22
1520,387.0,2.0,455.00896007032867,34
1530,758.0,12.0,478.5623134012022,45
1540,948.0,9.0,251.19729926413106,37
1550,1214.0,23.0,385.13468969608516,34
1560,1483.0,0.0,433.99320612162626,36
1570,1708.0,0.0,409.4349696349715,39
1580,1331.0,0.0,361.3229554516229,30
1590,941.0,0.0,322.6648056735146,27
1600,171.0,0.0,335.75959144747424,15
1610,299.0,0.0,385.6803832460648,25
1620,539.0,0.0,346.71004866326876,31
1630,824.0,4.0,387.6591547287942,37
1640,1163.0,14.0,386.54557503241284,35
1650,1261.0,24.0,431.56172922105526,34
1660,1613.0,34.0,471.10239334432254,40
1670,1874.0,44.0,435.6691328031781,40
1680,2167.0,54.0,398.9034712313698,34
1690,2396.0,64.0,402.6949724937451,36
1700,2767.0,80.0,448.7905235311326,41
1710,2019.0,100.0,326.05880225792083,37
1720,1291.0,94.0,384.3140100322738,28
1730,358.0,104.0,416.1467662209457,19
1740,359.0,0.0,477.5986793085375,26
1750,413.0,0.0,508.1342425643759,28
1760,755.0,10.0,420.9512375400909,40
1770,539.0,30.0,390.9578853411826,25
1780,382.0,50.0,487.17148519539614,21
1790,339.0,31.0,452.3186134583485,22
1800,435.0,0.0,320.31626402615257,30
1810,509.0,5.0,346.4976072139419,31
1820,785.0,32.0,418.49010656974826,39
1830,632.0,44.0,446.7640634738403,28
1840,393.0,64.0,388.7002582336538,22
1850,309.0,10.0,345.36021600956576,25
1860,231.0,17.0,265.2966914259606,25
1870,335.0,53.0,408.0298609070388,36
1880,146.0,16.0,373.6738786687024,21
1890,109.0,5.0,451.93820764399294,16
1900,147.0,7.0,325.87158560325935,21
1910,406.0,19.0,331.91714266730145,35
1920,480.0,18.0,358.8009639927615,32
1930,826.0,47.0,389.0042730200123,38
1940,995.0,77.0,306.8804490255711,30
1950,1305.0,107.0,366.32434046597797,38
1960,1224.0,137.0,439.62663262769894,36
1970,914.0,107.0,270.42133943875496,30
1980,297.0,59.0,296.3574785462972,17
1990,159.0,2.0,307.0084065658741,16
2000,365.0,17.0,280.472157535544,24
2010,614.0,51.0,374.72436895947993,35
2020,559.0,101.0,486.23734289261154,27
2030,419.0,109.0,431.1520058237299,24
2040,342.0,34.0,352.6519245796358,21
2050,114.0,13.0,321.9156165145315,14
2060,174.0,22.0,268.22155624184103,22
2070,423.0,58.0,246.82645799404096,30
2080,712.0,98.0,302.3050436744443,40
2090,749.0,138.0,317.80075292687053,35
2100,907.0,124.0,317.5106104600722,37
2110,777.0,57.0,292.4187681096388,39
2120,396.0,34.0,337.71804989412857,24
2130,428.0,74.0,386.42665165682496,27
2140,738.0,116.0,350.82898502545953,36
2150,921.0,154.0,305.60208421825007,33
2160,1180.0,201.0,328.06720450249276,41
2170,989.0,104.0,245.2544802177914,33
2180,650.0,13.0,337.70827164498075,23
2190,447.0,41.0,220.16733948701022,24
2200,250.0,50.0,260.5639478141907,22
2210,255.0,22.0,311.1368250514629,24
2220,138.0,3.0,276.88344150888315,16
2230,95.0,24.0,390.2539598881902,12
2240,252.0,54.0,263.66432496665016,22
2250,494.0,84.0,258.45604149927044,28
2260,616.0,71.0,352.32836187017625,39
2270,943.0,99.0,271.3080512133098,42
2280,887.0,18.0,378.72240034905246,36
2290,855.0,28.0,378.47825276956945,32
2300,770.0,38.0,442.04756614644356,28
2310,383.0,0.0,367.82682962179416,24
2320,241.0,0.0,418.162515318771,21
2330,475.0,0.0,369.11513963841395,28
2340,811.0,9.0,356.4716479436978,37
2350,1193.0,19.0,327.339766220551,39
2360,1589.0,29.0,393.77683401316943,43
2370,1646.0,39.0,357.0524579767575,43
2380,1665.0,49.0,288.416821270427,46
2390,1104.0,69.0,321.42097291029353,35
2400,754.0,89.0,277.9392555468665,28
2410,376.0,0.0,230.36617733933065,32
2420,636.0,8.0,287.96616374812254,39
2430,708.0,33.0,357.2236258080044,39
2440,431.0,41.0,305.28487690163115,26
2450,402.0,25.0,267.095637479312,26
2460,395.0,0.0,289.529499177378,26
2470,352.0,7.0,201.52160287934768,27
2480,373.0,20.0,285.3318328070316,26
2490,160.0,0.0,333.24914275344315,15
2500,157.0,0.0,320.3354631752796,17
2510,361.0,3.0,308.8185310260739,33
