Time,Total_Wait,Ambulance_Wait,CO2,Queue
10.0,0.0,0.0,47.89420065930358,1
20.0,10.0,4.0,28.24225764283088,2
30.0,30.0,14.0,151.7771994160885,2
40.0,1.0,0.0,97.19610908136288,3
50.0,7.0,0.0,121.53965142085646,3
60.0,2.0,0.0,138.55717524346505,3
70.0,34.0,3.0,226.1625229931608,6
80.0,98.0,13.0,173.45939889227344,10
90.0,69.0,9.0,204.14372944025845,10
100.0,85.0,6.0,284.77152165761544,13
110.0,226.0,32.0,375.61374218424135,16
120.0,225.0,46.0,203.93244294998942,14
130.0,46.0,2.0,213.34582983165052,8
140.0,67.0,18.0,288.8930770004075,11
150.0,61.0,0.0,324.74195496187366,10
160.0,18.0,0.0,344.86444458670087,5
170.0,18.0,4.0,229.96543566322234,8
180.0,31.0,9.0,351.76271569412495,7
190.0,12.0,2.0,388.62315667219775,7
200.0,37.0,0.0,381.4710915135136,11
210.0,114.0,0.0,307.6643654879467,18
220.0,304.0,6.0,315.74716280778034,22
230.0,387.0,16.0,407.2789274557644,20
240.0,555.0,26.0,343.0320426052001,20
250.0,757.0,36.0,290.4054372125187,22
260.0,914.0,46.0,198.7017259847609,20
270.0,1021.0,60.0,208.487316910034,20
280.0,503.0,66.0,300.3278669374645,14
290.0,65.0,0.0,307.3273502938786,11
300.0,150.0,5.0,312.8893778929928,17
310.0,323.0,15.0,333.9963193722398,25
320.0,520.0,25.0,293.18103431164076,24
330.0,739.0,35.0,282.64816838278756,26
340.0,949.0,45.0,278.10120794225816,27
350.0,1188.0,55.0,288.75073551967444,27
360.0,1002.0,65.0,278.30681957496864,25
370.0,585.0,0.0,443.8763627230157,23
380.0,118.0,4.0,413.51346053283385,11
390.0,38.0,7.0,290.3152887963464,11
400.0,86.0,8.0,308.2486087209213,13
410.0,131.0,18.0,350.52364574834985,15
420.0,82.0,1.0,308.4927068065168,13
430.0,148.0,11.0,257.70998732798336,17
440.0,253.0,21.0,309.02550773955033,21
450.0,331.0,0.0,182.53751899760513,25
460.0,253.0,11.0,216.5664529000862,23
470.0,218.0,16.0,252.48036218872133,19
480.0,286.0,26.0,247.7357896751266,20
490.0,525.0,36.0,200.71878059731145,28
500.0,782.0,46.0,296.84311841093086,28
510.0,866.0,0.0,297.0456946004389,25
520.0,575.0,5.0,204.24900268538184,22
530.0,333.0,15.0,171.47927823044427,20
540.0,171.0,0.0,212.20275268216204,22
550.0,104.0,0.0,366.1409308791463,17
560.0,69.0,0.0,334.05343834013183,9
570.0,74.0,0.0,323.9859166167197,12
580.0,176.0,0.0,230.912701573766,15
590.0,378.0,0.0,219.7117700825931,28
600.0,620.0,0.0,461.6559139028586,28
610.0,833.0,0.0,258.2977040476492,28
620.0,630.0,0.0,421.95378338586926,20
630.0,418.0,0.0,320.4196057202177,18
640.0,172.0,0.0,382.22783992326913,16
650.0,251.0,0.0,395.6425644210753,21
660.0,480.0,0.0,446.8440475261757,30
670.0,551.0,9.0,342.7828524468003,27
680.0,375.0,19.0,388.9947938261071,19
690.0,270.0,29.0,566.9160128903932,19
700.0,267.0,0.0,510.54252256185225,23
710.0,334.0,0.0,438.78181265063995,24
720.0,367.0,9.0,337.30010037004,29
730.0,244.0,19.0,258.7774236938869,20
740.0,71.0,7.0,294.3378009856403,13
750.0,174.0,0.0,357.9092555066123,22
760.0,292.0,0.0,483.210755807309,25
770.0,493.0,6.0,331.76723785961633,29
780.0,767.0,16.0,360.1189445275776,31
790.0,1031.0,26.0,350.2900304525527,30
800.0,1321.0,36.0,347.439030741534,32
810.0,1651.0,49.0,462.80639745091236,36
820.0,1419.0,56.0,405.1249318445679,26
830.0,922.0,66.0,255.98231155791416,24
840.0,438.0,0.0,301.5078855009451,19
850.0,194.0,0.0,474.12070899777933,20
860.0,365.0,6.0,489.8978657059863,26
870.0,638.0,16.0,293.37672739348295,34
880.0,905.0,26.0,329.9187081644453,36
890.0,1221.0,36.0,334.88794111811546,36
900.0,1465.0,46.0,231.66476829183298,31
910.0,1780.0,56.0,274.69470666138363,36
920.0,1413.0,66.0,328.88808884237153,26
930.0,950.0,76.0,429.66105849959433,19
940.0,445.0,0.0,382.7103267131289,15
950.0,195.0,0.0,309.6819984463984,18
960.0,379.0,0.0,349.2493030468094,24
970.0,387.0,8.0,312.1909584648834,27
